c2,s,BandGap1,BandGap2,BandGap3,BandGap4,BandGap5,BandGap6,BandGap7
0.15,0.01,0.032558,0.065212,0.098094,0.13128,0.16497,0.19921,0.23436
0.3,0.01,0.027497,0.055057,0.082757,0.11066,0.13886,0.16742,0.19653
0.45,0.01,0.020755,0.041537,0.06238,0.08331,0.10437,0.1256,0.14705
0.6,0.01,0.014337,0.028682,0.043043,0.057428,0.071851,0.086317,0.10085
0.75,0.01,0.0085087,0.017016,0.025522,0.034024,0.042523,0.051018,0.059513
0.9,0.01,0.0032401,0.0064779,0.0097114,0.012938,0.016157,0.019364,0.022559
1.05,0.01,0.0015472,0.0030927,0.0046346,0.0061714,0.0077012,0.0092222,0.010733
1.2,0.01,0.0059295,0.01185,0.017753,0.023629,0.02947,0.035266,0.041007
1.35,0.01,0.0099711,0.019924,0.029841,0.039705,0.049495,0.059195,0.068784
1.5,0.01,0.013724,0.027421,0.04106,0.054615,0.068054,0.081352,0.094472
1.65,0.01,0.017232,0.034424,0.051537,0.068532,0.085366,0.102,0.11839
1.8,0.01,0.020527,0.041003,0.061376,0.081597,0.10161,0.12137,0.14081
1.95,0.01,0.023637,0.047212,0.07066,0.093921,0.11693,0.13962,0.16192
2.1,0.01,0.026586,0.053098,0.079458,0.1056,0.13143,0.1569,0.1819
2.25,0.01,0.029392,0.058697,0.087828,0.1167,0.14522,0.17332,0.20087
2.4,0.01,0.03207,0.064043,0.095817,0.1273,0.15838,0.18898,0.21897
2.55,0.01,0.034635,0.069161,0.10347,0.13744,0.17097,0.20396,0.23627
2.7,0.01,0.037097,0.074074,0.11081,0.14718,0.18306,0.21834,0.25287
2.85,0.01,0.039467,0.078802,0.11787,0.15654,0.19468,0.23216,0.26883
3,0.01,0.041752,0.083361,0.12468,0.16557,0.20588,0.24549,0.28421
3.15,0.01,0.04396,0.087766,0.13126,0.1743,0.21671,0.25836,0.29905
3.3,0.01,0.046097,0.092029,0.13763,0.18274,0.22718,0.27081,0.31342
3.45,0.01,0.048168,0.096163,0.1438,0.19092,0.23733,0.28288,0.32734
3.6,0.01,0.05018,0.10018,0.1498,0.19887,0.24718,0.29459,0.34085
3.75,0.01,0.052136,0.10408,0.15562,0.20659,0.25676,0.30597,0.35398
3.9,0.01,0.054039,0.10787,0.16129,0.2141,0.26608,0.31705,0.36675
4.05,0.01,0.055894,0.11157,0.16682,0.22143,0.27516,0.32784,0.3792
4.2,0.01,0.057704,0.11518,0.17221,0.22857,0.28402,0.33837,0.39134
4.35,0.01,0.059471,0.11871,0.17748,0.23555,0.29267,0.34865,0.40319
4.5,0.01,0.061199,0.12216,0.18262,0.24237,0.30112,0.3587,0.41478
4.65,0.01,0.062889,0.12553,0.18765,0.24904,0.30939,0.36852,0.4261
4.8,0.01,0.064543,0.12883,0.19258,0.25556,0.31749,0.37814,0.43719
4.95,0.01,0.066164,0.13206,0.19741,0.26196,0.32542,0.38756,0.44805
5.1,0.01,0.067753,0.13523,0.20214,0.26823,0.33319,0.3968,0.4587
5.25,0.01,0.069312,0.13834,0.20679,0.27438,0.34082,0.40586,0.46915
5.4,0.01,0.070842,0.14139,0.21134,0.28042,0.34831,0.41476,0.4794
5.55,0.01,0.072346,0.14439,0.21582,0.28635,0.35566,0.42349,0.48947
5.7,0.01,0.073823,0.14734,0.22022,0.29218,0.36289,0.43208,0.49937
5.85,0.01,0.075275,0.15023,0.22455,0.29792,0.36999,0.44052,0.5091
6,0.01,0.076705,0.15308,0.2288,0.30355,0.37698,0.44882,0.51867
6.15,0.01,0.078111,0.15589,0.23299,0.3091,0.38386,0.45699,0.52809
6.3,0.01,0.079496,0.15865,0.23712,0.31457,0.39063,0.46504,0.53736
6.45,0.01,0.08086,0.16137,0.24118,0.31995,0.39731,0.47297,0.5465
6.6,0.01,0.082204,0.16405,0.24518,0.32525,0.40388,0.48078,0.5555
6.75,0.01,0.08353,0.1667,0.24913,0.33048,0.41036,0.48848,0.56437
6.9,0.01,0.084837,0.1693,0.25302,0.33564,0.41675,0.49607,0.57313
7.05,0.01,0.086126,0.17188,0.25686,0.34072,0.42306,0.50356,0.58176
7.2,0.01,0.087398,0.17441,0.26065,0.34574,0.42928,0.51095,0.59028
7.35,0.01,0.088654,0.17692,0.26439,0.3507,0.43542,0.51825,0.59869
7.5,0.01,0.089894,0.17939,0.26808,0.35559,0.44149,0.52545,0.60699
7.65,0.01,0.091119,0.18183,0.27173,0.36042,0.44748,0.53257,0.61519
7.8,0.01,0.092329,0.18425,0.27533,0.3652,0.4534,0.5396,0.62329
7.95,0.01,0.093525,0.18663,0.27889,0.36992,0.45925,0.54654,0.6313
8.1,0.01,0.094707,0.18899,0.28242,0.37458,0.46503,0.55341,0.63921
8.25,0.01,0.095876,0.19132,0.2859,0.37919,0.47074,0.5602,0.64704
8.4,0.01,0.097032,0.19363,0.28934,0.38375,0.4764,0.56692,0.65478
8.55,0.01,0.098176,0.19591,0.29274,0.38826,0.48199,0.57356,0.66243
8.7,0.01,0.099307,0.19817,0.29611,0.39273,0.48752,0.58013,0.67001
8.85,0.01,0.10043,0.2004,0.29945,0.39714,0.49299,0.58663,0.6775
9,0.01,0.10153,0.20261,0.30275,0.40151,0.49841,0.59307,0.68492
9.15,0.01,0.10263,0.2048,0.30601,0.40584,0.50378,0.59944,0.69227
9.3,0.01,0.10372,0.20696,0.30925,0.41013,0.50909,0.60575,0.69954
9.45,0.01,0.10479,0.20911,0.31245,0.41437,0.51435,0.612,0.70674
9.6,0.01,0.10586,0.21123,0.31562,0.41858,0.51956,0.61819,0.71388
9.75,0.01,0.10691,0.21334,0.31877,0.42274,0.52472,0.62433,0.72094
9.9,0.01,0.10796,0.21543,0.32188,0.42687,0.52984,0.6304,0.72795
10.05,0.01,0.109,0.21749,0.32497,0.43096,0.53491,0.63642,0.73489
10.2,0.01,0.11002,0.21954,0.32803,0.43501,0.53993,0.64239,0.74176
10.35,0.01,0.11104,0.22157,0.33106,0.43903,0.54491,0.64831,0.74858
10.5,0.01,0.11205,0.22359,0.33407,0.44301,0.54985,0.65417,0.75534
10.65,0.01,0.11305,0.22558,0.33705,0.44696,0.55475,0.65999,0.76205
10.8,0.01,0.11405,0.22756,0.34001,0.45088,0.5596,0.66576,0.76869
10.95,0.01,0.11503,0.22953,0.34294,0.45476,0.56442,0.67148,0.77529
11.1,0.01,0.11601,0.23148,0.34585,0.45862,0.56919,0.67715,0.78183
11.25,0.01,0.11698,0.23341,0.34873,0.46244,0.57393,0.68278,0.78832
11.4,0.01,0.11794,0.23533,0.3516,0.46623,0.57864,0.68837,0.79475
11.55,0.01,0.11889,0.23723,0.35444,0.47,0.5833,0.69391,0.80114
11.7,0.01,0.11984,0.23912,0.35726,0.47373,0.58793,0.69941,0.80748
11.85,0.01,0.12078,0.24099,0.36006,0.47744,0.59253,0.70487,0.81378
12,0.01,0.12171,0.24285,0.36284,0.48112,0.59709,0.71029,0.82002
12.15,0.01,0.12264,0.2447,0.36559,0.48477,0.60162,0.71567,0.82622
12.3,0.01,0.12356,0.24653,0.36833,0.4884,0.60612,0.72101,0.83238
12.45,0.01,0.12447,0.24836,0.37105,0.492,0.61058,0.72632,0.83849
12.6,0.01,0.12538,0.25016,0.37375,0.49558,0.61502,0.73158,0.84457
12.75,0.01,0.12628,0.25196,0.37643,0.49913,0.61942,0.73682,0.85059
12.9,0.01,0.12717,0.25374,0.37909,0.50266,0.62379,0.74201,0.85658
13.05,0.01,0.12806,0.25551,0.38174,0.50616,0.62814,0.74717,0.86253
13.2,0.01,0.12894,0.25727,0.38437,0.50965,0.63245,0.7523,0.86844
13.35,0.01,0.12982,0.25902,0.38698,0.5131,0.63674,0.75739,0.87431
13.5,0.01,0.13069,0.26076,0.38957,0.51654,0.641,0.76245,0.88014
13.65,0.01,0.13156,0.26249,0.39215,0.51995,0.64523,0.76748,0.88594
13.8,0.01,0.13242,0.2642,0.39471,0.52335,0.64944,0.77247,0.8917
13.95,0.01,0.13327,0.26591,0.39725,0.52672,0.65362,0.77744,0.89742
14.1,0.01,0.13412,0.2676,0.39978,0.53007,0.65777,0.78237,0.90311
14.25,0.01,0.13496,0.26928,0.4023,0.5334,0.6619,0.78728,0.90876
14.4,0.01,0.1358,0.27096,0.4048,0.53671,0.666,0.79215,0.91438
14.55,0.01,0.13664,0.27262,0.40728,0.54,0.67008,0.797,0.91996
14.7,0.01,0.13747,0.27427,0.40975,0.54327,0.67414,0.80182,0.92552
14.85,0.01,0.13829,0.27592,0.4122,0.54653,0.67817,0.80661,0.93104
15,0.01,0.13911,0.27755,0.41464,0.54976,0.68218,0.81137,0.93653
0.15,0.02,0.043745,0.087353,0.13094,0.17413,0.21737,0.26004,0.30306
0.3,0.02,0.042559,0.08508,0.12764,0.1701,0.2127,0.2552,0.2981
0.45,0.02,0.035169,0.070304,0.10542,0.14044,0.17547,0.21037,0.24538
0.6,0.02,0.025878,0.051714,0.077483,0.10313,0.12866,0.15399,0.1792
0.75,0.02,0.016091,0.032142,0.048117,0.063972,0.079683,0.095199,0.11051
0.9,0.02,0.006351,0.01268,0.018968,0.025191,0.031331,0.037365,0.043277
1.05,0.02,0.0031202,0.0062273,0.009308,0.012349,0.015338,0.018263,0.021109
1.2,0.02,0.012238,0.024414,0.036467,0.048339,0.059964,0.07129,0.082251
1.35,0.02,0.020977,0.041836,0.062451,0.082712,0.10249,0.12169,0.14017
1.5,0.02,0.029344,0.058503,0.087282,0.11551,0.14299,0.16957,0.19505
1.65,0.02,0.037354,0.074451,0.11102,0.14683,0.1816,0.21513,0.24712
1.8,0.02,0.045031,0.089728,0.13374,0.17677,0.21845,0.25853,0.29665
1.95,0.02,0.052397,0.10438,0.15552,0.20543,0.25369,0.29998,0.34385
2.1,0.02,0.059476,0.11846,0.17642,0.23293,0.28745,0.33965,0.38896
2.25,0.02,0.06629,0.132,0.19653,0.25935,0.31987,0.37768,0.43215
