c2,s,BandGap1
0.15,0.01,0.032558
0.3,0.01,0.027497
0.45,0.01,0.020755
0.6,0.01,0.014337
0.75,0.01,0.0085087
0.9,0.01,0.0032401
1.05,0.01,0.0015472
1.2,0.01,0.0059295
1.35,0.01,0.0099711
1.5,0.01,0.013724
1.65,0.01,0.017232
1.8,0.01,0.020527
1.95,0.01,0.023637
2.1,0.01,0.026586
2.25,0.01,0.029392
2.4,0.01,0.03207
2.55,0.01,0.034635
2.7,0.01,0.037097
2.85,0.01,0.039467
3,0.01,0.041752
3.15,0.01,0.04396
3.3,0.01,0.046097
3.45,0.01,0.048168
3.6,0.01,0.05018
3.75,0.01,0.052136
3.9,0.01,0.054039
4.05,0.01,0.055894
4.2,0.01,0.057704
4.35,0.01,0.059471
4.5,0.01,0.061199
4.65,0.01,0.062889
4.8,0.01,0.064543
4.95,0.01,0.066164
5.1,0.01,0.067753
5.25,0.01,0.069312
5.4,0.01,0.070842
5.55,0.01,0.072346
5.7,0.01,0.073823
5.85,0.01,0.075275
6,0.01,0.076705
6.15,0.01,0.078111
6.3,0.01,0.079496
6.45,0.01,0.08086
6.6,0.01,0.082204
6.75,0.01,0.08353
6.9,0.01,0.084837
7.05,0.01,0.086126
7.2,0.01,0.087398
7.35,0.01,0.088654
7.5,0.01,0.089894
7.65,0.01,0.091119
7.8,0.01,0.092329
7.95,0.01,0.093525
8.1,0.01,0.094707
8.25,0.01,0.095876
8.4,0.01,0.097032
8.55,0.01,0.098176
8.7,0.01,0.099307
8.85,0.01,0.10043
9,0.01,0.10153
9.15,0.01,0.10263
9.3,0.01,0.10372
9.45,0.01,0.10479
9.6,0.01,0.10586
9.75,0.01,0.10691
9.9,0.01,0.10796
10.05,0.01,0.109
10.2,0.01,0.11002
10.35,0.01,0.11104
10.5,0.01,0.11205
10.65,0.01,0.11305
10.8,0.01,0.11405
10.95,0.01,0.11503
11.1,0.01,0.11601
11.25,0.01,0.11698
11.4,0.01,0.11794
11.55,0.01,0.11889
11.7,0.01,0.11984
11.85,0.01,0.12078
12,0.01,0.12171
12.15,0.01,0.12264
12.3,0.01,0.12356
12.45,0.01,0.12447
12.6,0.01,0.12538
12.75,0.01,0.12628
12.9,0.01,0.12717
